item_id,batch_id,actual,predicted
1,b67426a6,0,0
2,b67426a6,0,0
3,b67426a6,0,0
4,b67426a6,0,0
5,b67426a6,0,0
6,b67426a6,0,0
7,b67426a6,1,1
8,b67426a6,1,1
9,b67426a6,0,0
10,b67426a6,0,0
11,b67426a6,0,0
12,b67426a6,0,0
13,b67426a6,1,1
14,b67426a6,0,0
15,b67426a6,0,1
16,b67426a6,0,0
17,b67426a6,0,0
18,b67426a6,0,0
19,b67426a6,1,1
20,b67426a6,0,0
21,b67426a6,1,1
22,b67426a6,1,1
23,b67426a6,1,1
24,b67426a6,0,0
25,b67426a6,0,0
26,b67426a6,0,0
27,b67426a6,0,0
28,b67426a6,0,0
29,b67426a6,0,0
30,b67426a6,1,1
31,b67426a6,0,0
32,b67426a6,1,1
33,b67426a6,0,0
34,b67426a6,1,1
35,b67426a6,0,0
36,b67426a6,0,0
37,b67426a6,0,0
38,b67426a6,0,0
39,b67426a6,0,0
40,b67426a6,1,1
41,b67426a6,0,0
42,b67426a6,0,0
43,b67426a6,0,0
44,b67426a6,0,0
45,b67426a6,0,0
46,b67426a6,0,0
47,b67426a6,0,0
48,b67426a6,0,0
49,b67426a6,0,0
50,b67426a6,0,0
51,b67426a6,0,0
52,b67426a6,0,0
53,b67426a6,0,0
54,b67426a6,0,0
55,b67426a6,0,0
56,b67426a6,1,1
57,b67426a6,0,0
58,b67426a6,0,1
59,b67426a6,1,1
60,b67426a6,0,0
61,b67426a6,0,0
62,b67426a6,0,0
63,b67426a6,0,0
64,b67426a6,0,0
65,b67426a6,0,0
66,b67426a6,0,0
67,b67426a6,0,0
68,b67426a6,0,1
69,b67426a6,0,0
70,b67426a6,0,0
71,b67426a6,1,1
72,b67426a6,1,1
73,b67426a6,1,1
74,b67426a6,0,0
75,b67426a6,1,1
76,b67426a6,0,0
77,b67426a6,0,0
78,b67426a6,0,0
79,b67426a6,0,0
80,b67426a6,0,0
81,b67426a6,0,0
82,b67426a6,0,0
83,b67426a6,0,0
84,b67426a6,0,0
85,b67426a6,0,0
86,b67426a6,0,0
87,b67426a6,0,0
88,b67426a6,0,0
89,b67426a6,0,0
90,b67426a6,0,0
91,b67426a6,0,0
92,b67426a6,1,1
93,b67426a6,1,1
94,b67426a6,1,1
95,b67426a6,1,1
96,b67426a6,1,1
97,b67426a6,0,0
98,b67426a6,0,0
99,b67426a6,0,0
100,b67426a6,0,0
101,b67426a6,0,0
102,b67426a6,0,0
103,b67426a6,0,0
104,b67426a6,0,0
105,b67426a6,0,0
106,b67426a6,1,1
107,b67426a6,1,1
108,b67426a6,0,0
109,b67426a6,0,0
110,b67426a6,0,0
111,b67426a6,0,0
112,b67426a6,0,0
113,b67426a6,1,1
114,b67426a6,0,0
115,b67426a6,0,0
116,b67426a6,0,0
117,b67426a6,0,0
118,b67426a6,1,1
119,b67426a6,0,1
120,b67426a6,0,0
121,b67426a6,0,0
122,b67426a6,1,1
123,b67426a6,0,0
124,b67426a6,0,0
125,b67426a6,1,1
126,b67426a6,1,1
127,b67426a6,0,0
128,b67426a6,1,1
129,b67426a6,0,0
130,b67426a6,1,1
131,b67426a6,0,0
132,b67426a6,0,0
133,b67426a6,0,0
134,b67426a6,1,1
135,b67426a6,0,0
136,b67426a6,0,0
137,b67426a6,1,1
138,b67426a6,0,0
139,b67426a6,0,0
140,b67426a6,0,0
141,b67426a6,0,0
142,b67426a6,1,1
143,b67426a6,0,0
144,b67426a6,0,0
145,b67426a6,0,0
146,b67426a6,0,0
147,b67426a6,1,1
148,b67426a6,0,0
149,b67426a6,0,0
150,b67426a6,0,0
151,b67426a6,0,0
152,b67426a6,1,1
153,b67426a6,1,1
154,b67426a6,0,0
155,b67426a6,0,0
156,b67426a6,0,0
157,b67426a6,0,0
158,b67426a6,0,0
159,b67426a6,0,0
160,b67426a6,0,0
161,b67426a6,0,0
162,b67426a6,1,1
163,b67426a6,1,1
164,b67426a6,0,0
165,b67426a6,0,0
166,b67426a6,1,1
167,b67426a6,0,0
168,b67426a6,0,0
169,b67426a6,0,0
170,b67426a6,1,1
171,b67426a6,0,0
172,b67426a6,0,1
173,b67426a6,0,0
174,b67426a6,0,0
175,b67426a6,1,1
176,b67426a6,0,0
177,b67426a6,1,1
178,b67426a6,0,0
179,b67426a6,0,0
180,b67426a6,1,1
181,b67426a6,1,1
182,b67426a6,0,0
183,b67426a6,0,0
184,b67426a6,0,0
185,b67426a6,0,0
186,b67426a6,0,0
187,b67426a6,0,0
188,b67426a6,0,0
189,b67426a6,0,0
190,b67426a6,0,0
191,b67426a6,0,0
192,b67426a6,0,0
193,b67426a6,0,0
194,b67426a6,0,0
195,b67426a6,0,1
196,b67426a6,0,0
197,b67426a6,1,1
198,b67426a6,1,1
199,b67426a6,1,1
200,b67426a6,0,1
201,b67426a6,0,0
202,b67426a6,1,1
203,b67426a6,0,1
204,b67426a6,0,0
205,b67426a6,0,0
206,b67426a6,0,0
207,b67426a6,1,1
208,b67426a6,0,0
209,b67426a6,0,0
210,b67426a6,0,1
211,b67426a6,1,1
212,b67426a6,0,0
213,b67426a6,0,0
214,b67426a6,0,0
215,b67426a6,1,1
216,b67426a6,1,1
217,b67426a6,1,1
218,b67426a6,0,0
219,b67426a6,0,0
220,b67426a6,0,0
221,b67426a6,1,1
222,b67426a6,0,0
223,b67426a6,1,1
224,b67426a6,0,0
225,b67426a6,0,0
226,b67426a6,0,0
227,b67426a6,1,1
228,b67426a6,0,0
229,b67426a6,1,1
230,b67426a6,0,0
231,b67426a6,0,0
232,b67426a6,0,0
233,b67426a6,0,0
234,b67426a6,0,0
235,b67426a6,0,0
236,b67426a6,0,0
237,b67426a6,0,0
238,b67426a6,1,1
239,b67426a6,0,0
240,b67426a6,0,0
241,b67426a6,0,0
242,b67426a6,0,0
243,b67426a6,0,0
244,b67426a6,0,0
245,b67426a6,1,1
246,b67426a6,0,0
247,b67426a6,0,0
248,b67426a6,0,0
249,b67426a6,0,0
250,b67426a6,1,1
251,b67426a6,1,1
252,b67426a6,0,1
253,b67426a6,0,0
254,b67426a6,1,1
255,b67426a6,0,0
256,b67426a6,1,1
257,b67426a6,0,0
258,b67426a6,1,1
259,b67426a6,0,0
260,b67426a6,1,1
261,b67426a6,0,1
262,b67426a6,0,0
263,b67426a6,0,0
264,b67426a6,0,0
265,b67426a6,0,0
266,b67426a6,1,1
267,b67426a6,0,0
268,b67426a6,0,0
269,b67426a6,0,0
270,b67426a6,0,0
271,b67426a6,1,1
272,b67426a6,1,1
273,b67426a6,0,1
274,b67426a6,1,1
275,b67426a6,0,0
276,b67426a6,0,0
277,b67426a6,0,0
278,b67426a6,0,0
279,b67426a6,0,0
280,b67426a6,0,0
281,b67426a6,0,0
282,b67426a6,0,0
283,b67426a6,0,0
284,b67426a6,0,0
285,b67426a6,0,0
286,b67426a6,0,0
287,b67426a6,0,0
288,b67426a6,1,1
289,b67426a6,0,0
290,b67426a6,0,0
291,b67426a6,0,0
292,b67426a6,0,0
293,b67426a6,1,1
294,b67426a6,1,1
295,b67426a6,0,0
296,b67426a6,0,0
297,b67426a6,1,1
298,b67426a6,1,1
299,b67426a6,1,1
300,b67426a6,0,0
301,b67426a6,0,0
302,b67426a6,0,0
303,b67426a6,0,0
304,b67426a6,1,1
305,b67426a6,1,1
306,b67426a6,0,0
307,b67426a6,0,0
308,b67426a6,1,1
309,b67426a6,0,1
310,b67426a6,1,1
311,b67426a6,0,0
312,b67426a6,0,1
313,b67426a6,0,0
314,b67426a6,0,1
315,b67426a6,1,1
316,b67426a6,1,1
317,b67426a6,0,0
318,b67426a6,0,0
319,b67426a6,0,0
320,b67426a6,0,0
321,b67426a6,0,0
322,b67426a6,1,1
323,b67426a6,1,1
324,b67426a6,0,0
325,b67426a6,0,0
326,b67426a6,1,1
327,b67426a6,0,0
328,b67426a6,1,1
329,b67426a6,0,0
330,b67426a6,0,0
331,b67426a6,0,1
332,b67426a6,1,1
333,b67426a6,0,0
334,b67426a6,0,0
335,b67426a6,0,0
336,b67426a6,1,1
337,b67426a6,0,0
338,b67426a6,0,0
339,b67426a6,0,0
340,b67426a6,0,0
341,b67426a6,1,1
342,b67426a6,1,1
343,b67426a6,1,1
344,b67426a6,0,0
345,b67426a6,0,0
346,b67426a6,0,0
347,b67426a6,0,0
348,b67426a6,0,0
349,b67426a6,0,0
350,b67426a6,1,1
351,b67426a6,0,0
352,b67426a6,1,1
353,b67426a6,0,0
354,b67426a6,0,1
355,b67426a6,0,0
356,b67426a6,0,0
357,b67426a6,0,0
358,b67426a6,1,1
359,b67426a6,0,0
360,b67426a6,0,0
361,b67426a6,0,1
362,b67426a6,0,0
363,b67426a6,0,0
364,b67426a6,0,0
365,b67426a6,1,1
366,b67426a6,0,0
367,b67426a6,0,0
368,b67426a6,0,0
369,b67426a6,0,0
370,b67426a6,1,1
371,b67426a6,0,0
372,b67426a6,1,1
373,b67426a6,0,0
374,b67426a6,0,0
375,b67426a6,1,1
376,b67426a6,0,0
377,b67426a6,1,1
378,b67426a6,1,1
379,b67426a6,0,0
380,b67426a6,0,0
381,b67426a6,0,0
382,b67426a6,0,0
383,b67426a6,1,1
384,b67426a6,0,0
385,b67426a6,0,0
386,b67426a6,0,0
387,b67426a6,1,1
388,b67426a6,1,1
389,b67426a6,0,0
390,b67426a6,0,0
391,b67426a6,0,0
392,b67426a6,0,0
393,b67426a6,0,0
394,b67426a6,0,0
395,b67426a6,0,0
396,b67426a6,0,0
397,b67426a6,0,0
398,b67426a6,0,0
399,b67426a6,0,0
400,b67426a6,0,0
401,b67426a6,0,0
402,b67426a6,1,1
403,b67426a6,0,0
404,b67426a6,1,1
405,b67426a6,0,0
406,b67426a6,1,1
407,b67426a6,1,1
408,b67426a6,0,0
409,b67426a6,0,0
410,b67426a6,0,0
411,b67426a6,1,1
412,b67426a6,0,0
413,b67426a6,0,0
414,b67426a6,0,0
415,b67426a6,1,1
416,b67426a6,0,0
417,b67426a6,0,0
418,b67426a6,1,1
419,b67426a6,0,0
420,b67426a6,0,0
421,b67426a6,0,0
422,b67426a6,0,0
423,b67426a6,0,0
424,b67426a6,0,0
425,b67426a6,1,1
426,b67426a6,1,1
427,b67426a6,1,1
428,b67426a6,1,1
429,b67426a6,0,0
430,b67426a6,0,0
431,b67426a6,0,0
432,b67426a6,0,0
433,b67426a6,0,0
434,b67426a6,0,0
435,b67426a6,1,1
436,b67426a6,0,0
437,b67426a6,1,1
438,b67426a6,1,1
439,b67426a6,1,1
440,b67426a6,0,0
441,b67426a6,0,0
442,b67426a6,0,0
443,b67426a6,0,0
444,b67426a6,1,1
445,b67426a6,1,1
446,b67426a6,0,0
447,b67426a6,0,0
448,b67426a6,0,0
449,b67426a6,0,0
450,b67426a6,0,0
451,b67426a6,0,0
452,b67426a6,1,1
453,b67426a6,0,0
454,b67426a6,0,0
455,b67426a6,0,0
456,b67426a6,0,0
457,b67426a6,0,0
458,b67426a6,1,1
459,b67426a6,0,0
460,b67426a6,1,1
461,b67426a6,0,0
462,b67426a6,1,1
463,b67426a6,0,1
464,b67426a6,0,0
465,b67426a6,0,0
466,b67426a6,0,0
467,b67426a6,0,0
468,b67426a6,0,0
469,b67426a6,0,0
470,b67426a6,1,1
471,b67426a6,1,1
472,b67426a6,0,0
473,b67426a6,1,1
474,b67426a6,0,0
475,b67426a6,0,0
476,b67426a6,0,0
477,b67426a6,0,0
478,b67426a6,0,0
479,b67426a6,0,0
480,b67426a6,1,1
481,b67426a6,1,1
482,b67426a6,1,1
483,b67426a6,1,1
484,b67426a6,0,0
485,b67426a6,0,0
486,b67426a6,0,0
487,b67426a6,0,0
488,b67426a6,0,0
489,b67426a6,0,0
490,b67426a6,0,0
491,b67426a6,1,1
492,b67426a6,0,1
493,b67426a6,1,1
494,b67426a6,0,0
495,b67426a6,0,0
496,b67426a6,0,0
497,b67426a6,1,1
